Type,Problem size,Time
serial,1,0.000041000
serial,1,0.000039000
serial,1,0.000035000
serial,1,0.000034000
serial,1,0.000034000
parallel,1,0.095983000
parallel,1,0.095190000
parallel,1,0.097936000
parallel,1,0.096486000
parallel,1,0.095607000
serial,10,0.000043000
serial,10,0.000036000
serial,10,0.000036000
serial,10,0.000035000
serial,10,0.000034000
parallel,10,0.100095000
parallel,10,0.096821000
parallel,10,0.100415000
parallel,10,0.094553000
parallel,10,0.097764000
serial,100,0.000042000
serial,100,0.000037000
serial,100,0.000037000
serial,100,0.000035000
serial,100,0.000032000
parallel,100,0.093203000
parallel,100,0.098380000
parallel,100,0.096202000
parallel,100,0.094154000
parallel,100,0.095349000
serial,1000,0.000067000
serial,1000,0.000062000
serial,1000,0.000064000
serial,1000,0.000059000
serial,1000,0.000060000
parallel,1000,0.094782000
parallel,1000,0.098811000
parallel,1000,0.091520000
parallel,1000,0.096271000
parallel,1000,0.095989000
serial,10000,0.000291000
serial,10000,0.000283000
serial,10000,0.000348000
serial,10000,0.000282000
serial,10000,0.000338000
parallel,10000,0.090717000
parallel,10000,0.095169000
parallel,10000,0.096261000
parallel,10000,0.093279000
parallel,10000,0.096661000
serial,100000,0.002550000
serial,100000,0.002559000
serial,100000,0.002524000
serial,100000,0.002534000
serial,100000,0.002509000
parallel,100000,0.094490000
parallel,100000,0.096681000
parallel,100000,0.094911000
parallel,100000,0.094126000
parallel,100000,0.093724000
serial,1000000,0.024806000
serial,1000000,0.029074000
serial,1000000,0.024971000
serial,1000000,0.025028000
serial,1000000,0.024884000
parallel,1000000,0.097914000
parallel,1000000,0.090885000
parallel,1000000,0.099535000
parallel,1000000,0.095071000
parallel,1000000,0.095531000
serial,10000000,0.248474000
serial,10000000,0.257449000
serial,10000000,0.252797000
serial,10000000,0.249685000
serial,10000000,0.249683000
parallel,10000000,0.095789000
parallel,10000000,0.101839000
parallel,10000000,0.103127000
parallel,10000000,0.100057000
parallel,10000000,0.102953000
serial,100000000,2.494240000
serial,100000000,2.474901000
serial,100000000,2.484233000
serial,100000000,2.486621000
serial,100000000,2.485472000
parallel,100000000,0.156152000
parallel,100000000,0.154845000
parallel,100000000,0.152083000
parallel,100000000,0.157639000
parallel,100000000,0.145240000
serial,1000000000,24.849139000
serial,1000000000,24.902468000
serial,1000000000,24.847203000
serial,1000000000,24.837525000
serial,1000000000,24.882177000
parallel,1000000000,0.567681000
parallel,1000000000,0.564011000
parallel,1000000000,0.567545000
parallel,1000000000,0.584151000
parallel,1000000000,0.573221000
