Impl/Ranks,Problem Size,Time,Updates/Sec
seq/1,192,2.841075000,250180397.075054854
par_block/2,192,2.459695000,293426597.444712698
par_block/6,192,0.884947000,842988517.593016863
par_block/12,192,0.554566000,1411576809.558535099
par_block/24,192,0.468182000,1770096938.652476311
par_block/48,192,0.412134000,2010640688.414320707
par_block/96,192,0.432330000,1777974515.556517839
seq/1,384,22.847056000,248234461.310936749
par_block/2,384,19.022269000,298873948.119878113
par_block/6,384,6.714194000,851933277.384172678
par_block/12,384,3.452947000,1672705160.210515738
par_block/24,384,1.992285000,2961145452.056859016
par_block/48,384,1.202123000,5034708913.399582863
par_block/96,384,1.445404000,4310833382.469149590
seq/1,768,183.336842000,247207513.630598456
par_block/2,768,152.417678000,297505264.344018579
par_block/6,768,52.127190000,871429089.244011402
par_block/12,768,28.481621000,1598302422.893796921
par_block/24,768,13.958788000,3276729708.716688156
par_block/48,768,7.141511000,6443090286.014617920
par_block/96,768,4.851671000,9726878371.435112000
seq/1,192,2.911190000,244115807.884605527
par_block/2,192,2.463799000,292904285.309114218
par_block/6,192,0.887784000,842047150.010285497
par_block/12,192,0.545820000,1443435538.291467667
par_block/24,192,0.481889000,1700354322.919559956
par_block/48,192,0.418273000,1981912516.139520407
par_block/96,192,0.410663000,1887518768.678325891
seq/1,384,22.680472000,250039610.518593192
par_block/2,384,18.912321000,300663778.455469310
par_block/6,384,6.745687000,847622037.658154845
par_block/12,384,3.480777000,1659189730.963749409
par_block/24,384,1.981460000,2981718741.255972862
par_block/48,384,1.232411000,4912749866.865977287
par_block/96,384,1.384497000,4374272071.126645088
seq/1,768,181.881574000,249174648.149913698
par_block/2,768,150.837818000,300665846.700639009
par_block/6,768,53.049529000,856121361.685337424
par_block/12,768,27.055858000,1682823259.762068748
par_block/24,768,14.000796000,3267213172.719917297
par_block/48,768,7.145739000,6442110278.178728104
par_block/96,768,4.744937000,10036050343.277898788
seq/1,192,2.834940000,250704752.189073503
par_block/2,192,2.442586000,295498115.690758526
par_block/6,192,0.892134000,838567377.842200398
par_block/12,192,0.554589000,1402201761.869688988
par_block/24,192,0.474470000,1743920220.034254313
par_block/48,192,0.430966000,1965277448.946322441
par_block/96,192,0.810673000,917700635.517430425
seq/1,384,22.801817000,248731440.537919015
par_block/2,384,19.510478000,291296248.399550319
par_block/6,384,6.751357000,848068528.696615458
par_block/12,384,3.490884000,1655888372.244164944
par_block/24,384,2.020087000,2916967002.382591248
par_block/48,384,1.342121000,4457340540.803556442
par_block/96,384,1.439962000,4188606224.551777840
seq/1,768,183.044780000,247595506.972912669
par_block/2,768,153.014539000,296351906.418604136
par_block/6,768,52.516198000,864759136.881622791
par_block/12,768,26.860667000,1694801865.649784088
par_block/24,768,13.969855000,3274218386.189080238
par_block/48,768,7.164518000,6422732175.865384102
par_block/96,768,5.317024000,9088683387.276048660
